Seq Num,Obs ID,Instrument,Grating,Appr Exp,Exposure,Target Name,PI Name,RA,Dec,Status,Data Mode,Exp Mode,Avg Cnt Rate,Evt Cnt,Start Date,Public Release Date,Proposal,Science Category,Type,Obs Cycle,Prop Cycle,Joint,Grid Name
402202,24292,ACIS-S,NONE,17.00,16.73,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.174928766170046,69857,2021-07-07 01:04:36,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,24293,ACIS-S,NONE,25.00,24.75,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.189610703012844,103707,2021-04-06 23:33:52,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,24294,ACIS-S,NONE,26.00,25.31,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,3.9351785502378958,99618,2021-10-12 14:12:51,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,25086,ACIS-S,NONE,30.00,28.70,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.10396500898076,117776,2021-08-07 02:06:13,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,26352,ACIS-S,NONE,14.00,13.41,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,3.8984536571009363,52265,2022-03-11 16:11:20,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,26446,ACIS-S,NONE,18.10,16.95,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.129519013035424,70004,2022-07-03 02:13:16,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,26451,ACIS-S,NONE,10.50,9.95,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.426180035182991,44025,2022-07-11 15:58:29,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,26452,ACIS-S,NONE,20.20,18.20,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.1029198134893905,74653,2022-07-14 02:20:40,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,27264,ACIS-S,NONE,18.00,17.70,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,3.8805312025442276,68695,2022-09-05 11:39:23,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402218,23440,ACIS-S,NONE,32.50,26.83,EXO 0748-676,Parikh,117.140,-67.752,archived,FAINT,TE,0.7218934897544734,19370,2021-08-03 22:27:41,2022-09-23 13:03:56,22400419,BH AND NS BINARIES,GO,22,22,None,
402218,24516,ACIS-S,NONE,27.50,23.60,EXO 0748-676,Parikh,117.140,-67.752,archived,FAINT,TE,0.720350688497491,17002,2021-09-21 18:43:48,2022-09-23 13:03:56,22400419,BH AND NS BINARIES,GO,22,22,None,
402270,23492,ACIS-I,NONE,10.00,9.74,NGC 253,Earnshaw,11.925,-25.303,archived,FAINT,TE,8.145711487862586,79319,2021-05-05 11:16:03,2022-05-05 17:13:30,22400554,BH AND NS BINARIES,GO,22,22,None,
402271,23493,ACIS-I,NONE,10.00,9.95,NGC 253,Earnshaw,11.925,-25.303,archived,FAINT,TE,3.224183308154011,32067,2021-06-01 20:25:24,2022-06-02 08:20:23,22400554,BH AND NS BINARIES,GO,22,22,None,
402272,23494,ACIS-I,NONE,10.00,9.83,NGC 253,Earnshaw,11.925,-25.303,archived,FAINT,TE,8.20550559902904,80679,2021-07-01 08:03:29,2022-07-02 06:10:27,22400554,BH AND NS BINARIES,GO,22,22,None,
