ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
15614,157.83111343368338,35.00489256581812,4.895925970247561,0.39248372959905375,6.734964370727539,yes,no,no,no,yes,no,yes,no
15132,149.98114761597728,-30.219298164658284,4.989756067334954,0.3653441769668965,11.083366394042969,yes,no,no,no,no,no,yes,no
15136,175.64522402041018,58.55361345127222,3.98933082225741,0.19824588769297896,12.880171775817871,yes,no,no,no,yes,no,yes,no
15316,130.50504407295261,-17.436396822177183,3.78191882069541,0.12230616807837832,15.729715347290039,yes,no,yes,no,no,no,yes,no
16613,232.89505520875997,35.565495006962486,1.684044271440702,0.045850225099450956,78.9492416381836,yes,no,yes,no,no,no,no,no
17596,177.52388707175007,22.469525348349556,7.701211805577926,0.6961700177716216,8.202635765075684,yes,no,yes,no,yes,no,yes,no
16281,336.0050270154834,78.32127423180366,4.638827269832881,0.3049160985590843,8.038403511047363,yes,no,no,no,no,no,no,no
16305,109.5628995968191,37.81391080948973,9.553383737140084,0.6128270495274183,12.323189735412598,yes,yes,yes,no,no,no,yes,no
17152,229.6261391709359,-24.23789949338273,6.541180375394729,0.5739715389307943,5.002295970916748,yes,no,no,no,no,no,yes,no
17494,177.786523686364,-28.04372265700604,2.901286279543996,0.0773416236912463,48.97154235839844,yes,no,yes,no,unknown,no,no,no
17654,198.68463791450665,-16.35185071524576,9.811408057464977,0.49421760893633315,19.835580825805664,yes,yes,no,no,no,no,yes,no
17615,207.58437870410918,26.68391750580319,1.393005773891718,0.014979770290675844,749.2034912109375,yes,no,yes,no,no,no,no,no
18218,205.8812908420042,42.02846269892281,6.438184655310486,0.46595552242312227,14.250511169433594,no,no,no,no,yes,no,yes,no
19699,210.99468877875114,38.495951308686834,3.780992687384927,0.09432751249094076,64.19389343261719,yes,no,no,no,yes,no,yes,no
19935,258.9799090211283,57.39075282897995,6.647966046745195,0.43432682836168823,13.03703784942627,yes,no,no,no,yes,no,yes,no
19569,218.2053180407889,44.2227968878208,9.08171479975676,0.7803984985193818,8.229423522949219,yes,no,no,no,yes,no,yes,no
19570,139.68209245082457,-12.439707548597536,2.94751283768829,0.10684938776943495,19.292543411254883,yes,no,no,no,no,no,no,no
19752,284.3056773022249,66.18039139167762,9.663658949521384,0.13766788060784332,79.90387725830078,yes,no,no,no,no,no,no,no
22164,186.17396395421946,12.864018237980174,4.743069748876124,0.2507431025461873,21.76015281677246,yes,yes,no,no,yes,no,yes,no
21081,181.60849004804646,-8.72885454755094,8.430734821464624,0.32385758218868343,43.14960479736328,yes,yes,yes,no,no,no,unknown,no
