,ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
201,11737,337.78287837916287,39.372900983787254,1.64868051205963,0.11791873519075456,7.996007919311523,no,no,no,no,no,no,no,no
202,12264,90.00442872803535,-52.71504419773976,4.700744609910269,0.2767100330713763,12.066136360168457,no,no,no,no,no,no,no,no
203,12273,87.16239534227341,-25.569317098135958,5.576384848565249,0.3767107432355483,9.907144546508789,no,no,no,no,no,no,no,no
204,13445,15.524483995558105,-22.12825471150584,3.800040792644774,0.12146686508306122,25.493253707885742,no,no,yes,no,no,no,no,no
205,13454,15.935693730603868,-21.812706512890927,7.384355051185367,0.32639995393184523,16.7299747467041,no,no,no,no,no,no,no,no
206,13505,345.3466524671922,-40.39490994631052,7.998846676176796,0.4886269878575185,16.08481788635254,no,no,no,no,no,no,no,no
207,15113,45.268361416593024,-77.88092172934407,6.610756587647111,0.6491172130284858,7.617845058441162,no,no,no,no,no,no,no,no
208,16120,61.32279395478353,38.14231246041177,5.158916078595118,0.09526465836691077,62.12882995605469,no,no,no,no,no,no,no,no
209,18715,40.829607970620465,32.323771618990364,8.603091115284416,0.9146591037035913,8.976789474487305,no,no,no,no,no,no,no,no
210,20635,356.26458918615276,-42.64493274396772,3.144367640676147,0.06971504260865254,61.822425842285156,no,no,no,no,no,no,no,no
211,23103,50.475290029665615,41.246834365744,3.501948580346485,0.228768844780718,10.726057052612305,no,no,no,no,no,no,no,no
